row, col, value
11, 27, 4
11, 28, 4
12, 26, 4
12, 27, 4
12, 28, 4
13, 25, 4
13, 26, 4
13, 27, 4
13, 28, 4
14, 24, 4
14, 25, 4
14, 26, 4
14, 27, 4
14, 28, 4
15, 23, 4
15, 24, 4
15, 25, 4
15, 26, 4
15, 27, 4
15, 28, 4
16, 22, 4
16, 23, 4
16, 24, 4
16, 25, 4
16, 26, 4
16, 27, 4
16, 28, 4
17, 21, 4
17, 22, 4
17, 23, 4
17, 24, 4
17, 25, 4
17, 26, 4
17, 27, 4
17, 28, 4
17, 44, 8
17, 45, 8
17, 46, 8
17, 47, 8
17, 48, 8
17, 49, 8
17, 50, 8
17, 51, 8
17, 52, 8
17, 53, 8
17, 54, 8
17, 55, 8
17, 56, 8
17, 57, 8
17, 58, 8
17, 59, 8
17, 60, 8
17, 61, 8
18, 20, 4
18, 21, 4
18, 22, 4
18, 23, 4
18, 24, 4
18, 25, 4
18, 26, 4
18, 27, 4
18, 28, 4
18, 33, 8
18, 34, 8
18, 35, 8
18, 36, 8
18, 37, 8
18, 38, 8
18, 39, 8
18, 40, 8
18, 41, 8
18, 42, 8
18, 43, 8
18, 44, 8
18, 45, 8
18, 46, 8
18, 47, 8
18, 48, 8
18, 49, 8
18, 50, 8
18, 51, 8
18, 52, 8
18, 53, 8
18, 54, 8
18, 55, 8
18, 56, 8
18, 57, 8
18, 58, 8
18, 59, 8
18, 60, 8
18, 61, 8
18, 62, 8
18, 63, 8
18, 64, 8
18, 65, 8
18, 66, 8
18, 67, 8
18, 68, 8
19, 19, 4
19, 20, 4
19, 21, 4
19, 22, 4
19, 23, 4
19, 24, 4
19, 25, 4
19, 26, 4
19, 27, 4
19, 28, 4
19, 32, 8
19, 33, 8
19, 34, 8
19, 35, 8
19, 36, 8
19, 37, 8
19, 38, 8
19, 39, 8
19, 40, 8
19, 41, 8
19, 42, 8
19, 43, 8
19, 44, 8
19, 45, 8
19, 46, 8
19, 47, 8
19, 48, 8
19, 49, 8
19, 50, 8
19, 51, 8
19, 52, 8
19, 53, 8
19, 54, 8
19, 55, 8
19, 56, 8
19, 57, 8
19, 58, 8
19, 59, 8
19, 60, 8
19, 61, 8
19, 62, 8
19, 63, 8
19, 64, 8
19, 65, 8
19, 66, 8
19, 67, 8
19, 68, 8
19, 69, 8
19, 70, 8
20, 18, 4
20, 19, 4
20, 20, 4
20, 21, 4
20, 22, 4
20, 23, 4
20, 24, 4
20, 25, 4
20, 26, 4
20, 27, 4
20, 28, 4
20, 31, 8
20, 32, 8
20, 33, 8
20, 34, 8
20, 35, 8
20, 36, 8
20, 37, 8
20, 38, 8
20, 39, 8
20, 40, 8
20, 41, 8
20, 42, 8
20, 43, 8
20, 44, 8
20, 45, 8
20, 46, 8
20, 47, 8
20, 48, 8
20, 49, 8
20, 50, 8
20, 51, 8
20, 52, 8
20, 53, 8
20, 54, 8
20, 55, 8
20, 56, 8
20, 57, 8
20, 58, 8
20, 59, 8
20, 60, 8
20, 61, 8
20, 62, 8
20, 63, 8
20, 64, 8
20, 65, 8
20, 66, 8
20, 67, 8
20, 68, 8
20, 69, 8
20, 70, 8
20, 71, 8
20, 72, 8
21, 17, 4
21, 18, 4
21, 19, 4
21, 20, 4
21, 21, 4
21, 22, 4
21, 23, 4
21, 24, 4
21, 25, 4
21, 26, 4
21, 27, 4
21, 28, 4
21, 31, 8
21, 32, 8
21, 33, 8
21, 34, 8
21, 35, 8
21, 36, 8
21, 37, 8
21, 38, 8
21, 39, 8
21, 40, 8
21, 41, 8
21, 42, 8
21, 43, 8
21, 44, 8
21, 45, 8
21, 46, 8
21, 47, 8
21, 48, 8
21, 49, 8
21, 50, 8
21, 51, 8
21, 52, 8
21, 53, 8
21, 54, 8
21, 55, 8
21, 56, 8
21, 57, 8
21, 58, 8
21, 59, 8
21, 60, 8
21, 61, 8
21, 62, 8
21, 63, 8
21, 64, 8
21, 65, 8
21, 66, 8
21, 67, 8
21, 68, 8
21, 69, 8
21, 70, 8
21, 71, 8
21, 72, 8
21, 73, 8
21, 74, 8
22, 16, 4
22, 17, 4
22, 18, 4
22, 19, 4
22, 20, 4
22, 21, 4
22, 22, 4
22, 23, 4
22, 24, 4
22, 25, 4
22, 26, 4
22, 27, 4
22, 28, 4
22, 31, 8
22, 32, 8
22, 33, 8
22, 34, 8
22, 35, 8
22, 36, 8
22, 37, 8
22, 38, 8
22, 39, 8
22, 40, 8
22, 41, 8
22, 42, 8
22, 43, 8
22, 44, 8
22, 45, 8
22, 46, 8
22, 47, 8
22, 48, 8
22, 49, 8
22, 50, 8
22, 51, 8
22, 52, 8
22, 53, 8
22, 54, 8
22, 55, 8
22, 56, 8
22, 57, 8
22, 58, 8
22, 59, 8
22, 60, 8
22, 61, 8
22, 62, 8
22, 63, 8
22, 64, 8
22, 65, 8
22, 66, 8
22, 67, 8
22, 68, 8
22, 69, 8
22, 70, 8
22, 71, 8
22, 72, 8
22, 73, 8
22, 74, 8
22, 75, 8
22, 76, 8
23, 14, 4
23, 15, 4
23, 16, 4
23, 17, 4
23, 18, 4
23, 19, 4
23, 20, 4
23, 21, 4
23, 22, 4
23, 23, 4
23, 24, 4
23, 25, 4
23, 26, 4
23, 27, 4
23, 28, 4
23, 31, 8
23, 32, 8
23, 33, 8
23, 34, 8
23, 35, 8
23, 36, 8
23, 37, 8
23, 38, 8
23, 39, 8
23, 40, 8
23, 41, 8
23, 42, 8
23, 43, 8
23, 44, 8
23, 45, 8
23, 46, 8
23, 47, 8
23, 48, 8
23, 49, 8
23, 50, 8
23, 51, 8
23, 52, 8
23, 53, 8
23, 54, 8
23, 55, 8
23, 56, 8
23, 57, 8
23, 58, 8
23, 59, 8
23, 60, 8
23, 61, 8
23, 62, 8
23, 63, 8
23, 64, 8
23, 65, 8
23, 66, 8
23, 67, 8
23, 68, 8
23, 69, 8
23, 70, 8
23, 71, 8
23, 72, 8
23, 73, 8
23, 74, 8
23, 75, 8
23, 76, 8
23, 77, 8
23, 78, 8
24, 13, 4
24, 14, 4
24, 15, 4
24, 16, 4
24, 17, 4
24, 18, 4
24, 19, 4
24, 20, 4
24, 21, 4
24, 22, 4
24, 23, 4
24, 24, 4
24, 25, 4
24, 26, 4
24, 27, 4
24, 28, 4
24, 31, 8
24, 32, 8
24, 33, 8
24, 34, 8
24, 35, 8
24, 36, 8
24, 37, 8
24, 38, 8
24, 39, 8
24, 40, 8
24, 41, 8
24, 42, 8
24, 43, 8
24, 44, 8
24, 45, 8
24, 46, 8
24, 47, 8
24, 48, 8
24, 49, 8
24, 50, 8
24, 51, 8
24, 52, 8
24, 53, 8
24, 54, 8
24, 55, 8
24, 56, 8
24, 57, 8
24, 58, 8
24, 59, 8
24, 60, 8
24, 61, 8
24, 62, 8
24, 63, 8
24, 64, 8
24, 65, 8
24, 66, 8
24, 67, 8
24, 68, 8
24, 69, 8
24, 70, 8
24, 71, 8
24, 72, 8
24, 73, 8
24, 74, 8
24, 75, 8
24, 76, 8
24, 77, 8
24, 78, 8
24, 79, 8
25, 12, 4
25, 13, 4
25, 14, 4
25, 15, 4
25, 16, 4
25, 17, 4
25, 18, 4
25, 19, 4
25, 20, 4
25, 21, 4
25, 22, 4
25, 23, 4
25, 24, 4
25, 25, 4
25, 26, 4
25, 27, 4
25, 28, 4
25, 29, 4
25, 31, 8
25, 32, 8
25, 33, 8
25, 34, 8
25, 35, 8
25, 36, 8
25, 37, 8
25, 38, 8
25, 39, 8
25, 40, 8
25, 41, 8
25, 42, 8
25, 43, 8
25, 44, 8
25, 45, 8
25, 46, 8
25, 47, 8
25, 48, 8
25, 49, 8
25, 50, 8
25, 51, 8
25, 52, 8
25, 53, 8
25, 54, 8
25, 55, 8
25, 56, 8
25, 57, 8
25, 58, 8
25, 59, 8
25, 60, 8
25, 61, 8
25, 62, 8
25, 63, 8
25, 64, 8
25, 65, 8
25, 66, 8
25, 67, 8
25, 68, 8
25, 69, 8
25, 70, 8
25, 71, 8
25, 72, 8
25, 73, 8
25, 74, 8
25, 75, 8
